account,URL,type,field
ies_laslagunas,http://twitter.com/ies_laslagunas,2,C
LaSalleGracia,http://twitter.com/LaSalleGracia,2,C
FPLaSalleGracia,http://twitter.com/FPLaSalleGracia,2,C
AHK_es,http://twitter.com/AHK_es,2,B
camaradesevilla,http://twitter.com/camaradesevilla,2,B
CCGranada,http://twitter.com/CCGranada,2,B
camaramurcia,http://twitter.com/camaramurcia,2,B
camarazaragoza,http://twitter.com/camarazaragoza,2,B
cambrabcn,http://twitter.com/cambrabcn,2,B
cambramallorca,http://twitter.com/cambramallorca,2,B
camaraemplea,http://twitter.com/camaraemplea,2,B
CamaradeMadrid,http://twitter.com/CamaradeMadrid,2,B
CamaraBurgos,http://twitter.com/CamaraBurgos,2,B
camarascomercio,http://twitter.com/camarascomercio,2,B
camaraofcordoba,http://twitter.com/camaraofcordoba,2,B
camaracomlorca,http://twitter.com/camaracomlorca,2,B
Camara_Malaga,http://twitter.com/Camara_Malaga,2,B
CambraTerrassa,http://twitter.com/CambraTerrassa,2,B
CamaraToledo,http://twitter.com/CamaraToledo,2,B
camaranavarra,http://twitter.com/camaranavarra,2,B
CamaraAlmeria,http://twitter.com/CamaraAlmeria,2,B
cambragirona,http://twitter.com/cambragirona,2,B
CambraTarragona,http://twitter.com/CambraTarragona,2,B
camaracg,http://twitter.com/camaracg,2,B
CamaraJerez,http://twitter.com/CamaraJerez,2,B
Camara_Segovia,http://twitter.com/Camara_Segovia,2,B
camaradezamora,http://twitter.com/camaradezamora,2,B
CamaraGijon,http://twitter.com/CamaraGijon,2,B
CamaraAndujar,http://twitter.com/CamaraAndujar,2,B
CEOE_ES,http://twitter.com/CEOE_ES,2,B
Confebask,http://twitter.com/Confebask,2,B
empresa_rioja,http://twitter.com/empresa_rioja,2,B
_CEIM_,http://twitter.com/_CEIM_,2,B
circulodempresa,http://twitter.com/circulodempresa,2,B
Confeformacion,http://twitter.com/Confeformacion,2,B
AERTIC,http://twitter.com/AERTIC,2,B
csostenibilidad,http://twitter.com/csostenibilidad,2,B
CEOEAragon,http://twitter.com/CEOEAragon,2,B
AdecatDec,http://twitter.com/AdecatDec,2,B
FAEBurgos,http://twitter.com/FAEBurgos,2,B
_CECAM,http://twitter.com/_CECAM,2,B
Pormarca_Espana,http://twitter.com/Pormarca_Espana,2,B
agremia,http://twitter.com/agremia,2,B
astic1960,http://twitter.com/astic1960,2,B
CEAes_,http://twitter.com/CEAes_,2,B
EFCyL,http://twitter.com/EFCyL,2,B
pimec,http://twitter.com/pimec,2,B
FADE_COMUNICA,http://twitter.com/FADE_COMUNICA,2,B
FomentTreball,http://twitter.com/FomentTreball,2,B
aedhe,http://twitter.com/aedhe,2,B
Ceoecant,http://twitter.com/Ceoecant,2,B
CAARAUTOARAGON,http://twitter.com/CAARAUTOARAGON,2,B
Confae,http://twitter.com/Confae,2,B
ASTITechGroup,http://twitter.com/ASTITechGroup,2,B
Empresarioszgz,http://twitter.com/Empresarioszgz,2,B
fehmallorca,http://twitter.com/fehmallorca,2,B
AEFAS_asturias,http://twitter.com/AEFAS_asturias,2,B
CecapFormacion,http://twitter.com/CecapFormacion,2,B
aeqtonline,http://twitter.com/aeqtonline,2,B
AESTarragona,http://twitter.com/AESTarragona,2,B
CEN_Navarra,http://twitter.com/CEN_Navarra,2,B
fremm_es,http://twitter.com/fremm_es,2,B
EmpreSEA,http://twitter.com/EmpreSEA,2,B
AdecaCampollano,http://twitter.com/AdecaCampollano,2,B
UNOlogistica,http://twitter.com/UNOlogistica,2,B
croemurcia,http://twitter.com/croemurcia,2,B
AJERegionMurcia,http://twitter.com/AJERegionMurcia,2,B
cepyme_,http://twitter.com/cepyme_,2,B
Tecniberia,http://twitter.com/Tecniberia,2,B
Aiqbe30,http://twitter.com/Aiqbe30,2,B
Gentic_org,http://twitter.com/Gentic_org,2,B
CamaraMotril,http://twitter.com/CamaraMotril,2,B
fedetoempresas,http://twitter.com/fedetoempresas,2,B
ClusterMMA,http://twitter.com/ClusterMMA,2,B
CesurEdelSur,http://twitter.com/CesurEdelSur,2,B
CEPplast,http://twitter.com/CEPplast,2,B
CEAJE,http://twitter.com/CEAJE,2,B
TixeAE,http://twitter.com/TixeAE,2,B
autonomosata,http://twitter.com/autonomosata,2,B
Amiitel,http://twitter.com/Amiitel,2,B
ceoecuenca,http://twitter.com/ceoecuenca,2,B
AEFALICANTE,http://twitter.com/AEFALICANTE,2,B
infoFECIC,http://twitter.com/infoFECIC,2,B
AECIM_org,http://twitter.com/AECIM_org,2,B
CAEB,http://twitter.com/CAEB,2,B
sernauto,http://twitter.com/sernauto,2,B
Ascamm_Gremi,http://twitter.com/Ascamm_Gremi,2,B
AEBALL_UPMBALL,http://twitter.com/AEBALL_UPMBALL,2,B
GremidelMotor,http://twitter.com/GremidelMotor,2,B
UPMbcn,http://twitter.com/UPMbcn,2,B
AgrupacioIBV,http://twitter.com/AgrupacioIBV,2,B
FEMEPA_LP,http://twitter.com/FEMEPA_LP,2,B
FEDEQUIMVE,http://twitter.com/FEDEQUIMVE,2,B
acragentgran,http://twitter.com/acragentgran,2,B
cel_leon,http://twitter.com/cel_leon,2,B
telefonica_ed,http://twitter.com/telefonica_ed,2,B
lidlespana,http://twitter.com/lidlespana,2,B
siemens_es,http://twitter.com/siemens_es,2,B
tuSEAT,http://twitter.com/tuSEAT,2,B
MediaMarkt_es,http://twitter.com/MediaMarkt_es,2,B
Repsol,http://twitter.com/Repsol,2,B
Nestle_es,http://twitter.com/Nestle_es,2,B
suezES,http://twitter.com/suezES,2,B
leroymerlin_es,http://twitter.com/leroymerlin_es,2,B
Renfe,http://twitter.com/Renfe,2,B
enaccionBankia,http://twitter.com/enaccionBankia,2,B
AccentureSpain,http://twitter.com/AccentureSpain,2,B
Heineken_ES,http://twitter.com/Heineken_ES,2,B
jpmorgan,http://twitter.com/jpmorgan,2,B
pasiona,http://twitter.com/pasiona,2,B
BASF_ES,http://twitter.com/BASF_ES,2,B
ManpowerGroupES,http://twitter.com/ManpowerGroupES,2,B
Agbar,http://twitter.com/Agbar,2,B
elcorteingles,http://twitter.com/elcorteingles,2,B
BoschEspana,http://twitter.com/BoschEspana,2,B
orange_es,http://twitter.com/orange_es,2,B
IndraCompany,http://twitter.com/IndraCompany,2,B
IKEASpain,http://twitter.com/IKEASpain,2,B
IbeconFormacion,http://twitter.com/IbeconFormacion,2,B
VIAQUA,http://twitter.com/VIAQUA,2,B
VW_es,http://twitter.com/VW_es,2,B
siemens_ind,http://twitter.com/siemens_ind,2,B
dicomol,http://twitter.com/dicomol,2,B
AytoSoluciones,http://twitter.com/AytoSoluciones,2,B
LeroyMerlinCorp,http://twitter.com/LeroyMerlinCorp,2,B
PressBankia,http://twitter.com/PressBankia,2,B
IPEditorial,http://twitter.com/IPEditorial,2,B
ASTIMRobotics,http://twitter.com/ASTIMRobotics,2,B
editorialeditex,http://twitter.com/editorialeditex,2,B
EventosUE,http://twitter.com/EventosUE,2,B
AerzenIberica,http://twitter.com/AerzenIberica,2,B
santillanafp,http://twitter.com/santillanafp,2,B
LaMeseta,http://twitter.com/LaMeseta,2,B
crearsa,http://twitter.com/crearsa,2,B
formagrupo,http://twitter.com/formagrupo,2,B
Bankia,http://twitter.com/Bankia,2,B
volvocar_es,http://twitter.com/volvocar_es,2,B
Atlantic_Copper,http://twitter.com/Atlantic_Copper,2,B
Petronor_Info,http://twitter.com/Petronor_Info,2,B
Heineken_ESCorp,http://twitter.com/Heineken_ESCorp,2,B
MahouSanMiguel,http://twitter.com/MahouSanMiguel,2,B
BLevrault_ES,http://twitter.com/BLevrault_ES,2,B
ctaima,http://twitter.com/ctaima,2,B
ZurichSeguros,http://twitter.com/ZurichSeguros,2,B
Deloitte_ES,http://twitter.com/Deloitte_ES,2,B
SGplaco,http://twitter.com/SGplaco,2,B
UnileverSpain,http://twitter.com/UnileverSpain,2,B
Gaes,http://twitter.com/Gaes,2,B
RedElectricaREE,http://twitter.com/RedElectricaREE,2,B
gestamp,http://twitter.com/gestamp,2,B
Aldi_es,http://twitter.com/Aldi_es,2,B
DANOBATGROUP,http://twitter.com/DANOBATGROUP,2,B
BoschGlobal,http://twitter.com/BoschGlobal,2,B
Campofrio_es,http://twitter.com/Campofrio_es,2,B
CarrefourES,http://twitter.com/CarrefourES,2,B
Essilor_Spain,http://twitter.com/Essilor_Spain,2,B
TimTul_es,http://twitter.com/TimTul_es,2,B
Naturgy,http://twitter.com/Naturgy,2,B
GrupoSiena,http://twitter.com/GrupoSiena,2,B
UnicajaBanco,http://twitter.com/UnicajaBanco,2,B
enagas,http://twitter.com/enagas,2,B
ComexiGroup,http://twitter.com/ComexiGroup,2,B
ericsson,http://twitter.com/ericsson,2,B
Connectis_,http://twitter.com/Connectis_,2,B
DowTarragona,http://twitter.com/DowTarragona,2,B
RiuHoteles,http://twitter.com/RiuHoteles,2,B
barcelohoteles,http://twitter.com/barcelohoteles,2,B
ElringKlingerAG,http://twitter.com/ElringKlingerAG,2,B
empresasiman,http://twitter.com/empresasiman,2,B
AdvantageConHR,http://twitter.com/AdvantageConHR,2,B
ComexiCTec,http://twitter.com/ComexiCTec,2,B
CelsaGroup,http://twitter.com/CelsaGroup,2,B
iberdrola,http://twitter.com/iberdrola,2,B
HiltonMadrid,http://twitter.com/HiltonMadrid,2,B
Zurich,http://twitter.com/Zurich,2,B
ISS_ES,http://twitter.com/ISS_ES,2,B
ALSA_Autobuses,http://twitter.com/ALSA_Autobuses,2,B
SAE_Ibertest,http://twitter.com/SAE_Ibertest,2,B
Freudenberg,http://twitter.com/Freudenberg,2,B
Nielsen_Spain,http://twitter.com/Nielsen_Spain,2,B
qipertco,http://twitter.com/qipertco,2,B
megustaleer,http://twitter.com/megustaleer,2,B
ullastresinfo,http://twitter.com/ullastresinfo,2,B
mjodarasesores,http://twitter.com/mjodarasesores,2,B
AFFORPrevencion,http://twitter.com/AFFORPrevencion,2,B
VIPS,http://twitter.com/VIPS,2,B
beckhoff,http://twitter.com/beckhoff,2,B
Bertelsmann_DE,http://twitter.com/Bertelsmann_DE,2,B
Airbus,http://twitter.com/Airbus,2,B
OITnoticias,http://twitter.com/OITnoticias,2,A
ppmadrid,http://twitter.com/ppmadrid,2,A
LaRiojaPP,http://twitter.com/LaRiojaPP,2,A
NNGG_CV,http://twitter.com/NNGG_CV,2,A
PP_Asturias,http://twitter.com/PP_Asturias,2,A
PPopular,http://twitter.com/PPopular,2,A
populares,http://twitter.com/populares,2,A
CiudadanosCs,http://twitter.com/CiudadanosCs,2,A
PSOE,http://twitter.com/PSOE,2,A
SAEmpleo,http://twitter.com/SAEmpleo,2,A
extremtrabaja,http://twitter.com/extremtrabaja,2,A
empleo_SEPE,http://twitter.com/empleo_SEPE,2,A
ccfpcat,http://twitter.com/ccfpcat,2,A
sepiegob,http://twitter.com/sepiegob,2,A
Inaempleo,http://twitter.com/Inaempleo,2,A
INCUAL,http://twitter.com/INCUAL,2,A
InjuveSpain,http://twitter.com/InjuveSpain,2,A
CTESC,http://twitter.com/CTESC,2,A
_CJE_,http://twitter.com/_CJE_,2,A
aragoncualifica,http://twitter.com/aragoncualifica,2,A
Innobasque,http://twitter.com/Innobasque,2,E
EU_EESC,http://twitter.com/EU_EESC,2,A
Cedefop,http://twitter.com/Cedefop,2,A
EUErasmusPlus,http://twitter.com/EUErasmusPlus,2,A
uemadrid,http://twitter.com/uemadrid,2,A
EU_Social,http://twitter.com/EU_Social,2,A
Ayto_Sevilla,http://twitter.com/Ayto_Sevilla,2,A
bcn_ajuntament,http://twitter.com/bcn_ajuntament,2,A
Ayto2Hermanas,http://twitter.com/Ayto2Hermanas,2,A
LaNaveMadrid,http://twitter.com/LaNaveMadrid,2,A
malaga,http://twitter.com/malaga,2,A
MadridEmprende,http://twitter.com/MadridEmprende,2,A
granollers,http://twitter.com/granollers,2,A
malagaimfe,http://twitter.com/malagaimfe,2,A
AjRubi,http://twitter.com/AjRubi,2,A
FPAndaluza,http://twitter.com/FPAndaluza,2,A
EducaAnd,http://twitter.com/EducaAnd,2,A
ComunidadMadrid,http://twitter.com/ComunidadMadrid,2,A
FPeuskadi,http://twitter.com/FPeuskadi,2,A
educacyl,http://twitter.com/educacyl,2,A
ensenyamentcat,http://twitter.com/ensenyamentcat,2,A
gobjccm,http://twitter.com/gobjccm,2,A
jcyl,http://twitter.com/jcyl,2,A
educajccm,http://twitter.com/educajccm,2,A
Xunta,http://twitter.com/Xunta,2,A
lariojaorg,http://twitter.com/lariojaorg,2,A
Educarm,http://twitter.com/Educarm,2,A
