author;mentioned;tweet_id
23337157;455722842;152860974821548033
292969669;74395797;149506870669869059
125716373;14304620;148327073461710848
325234004;62887164;136944335567597568
325234004;14436317;136740478526824449
325234004;220751541;136739581486829568
90995757;111070106;136738847651397632
23337157;2071051;135869052135538688
23337157;11999982;135869052135538688
23337157;14831098;135869052135538688
23337157;147627379;135869052135538688
185253802;400100289;134979619261657088
209174783;32127058;134952098264657920
358280685;209174783;134316261759926273
209174783;358280685;134314834677350402
293960374;47136088;134227180292026369
293960374;92508135;134227180292026369
223839625;1006478677041958912;133688066689871873
358280685;160508718;131670519517949952
160508718;18238467;131670206715138048
43701409;Unknown-75;131669063524040704
215348253;343447873;130961347168059392
168968609;343447873;130960909773447168
371299590;343447873;130959768218120192
140550105;156705052;125444609257111553
328402420;117720701;124834612366163968
144779691;47895756;124736529682804737
288141943;156627215;124591031512612864
140129131;64688134;117206107046420480
18979745;64688134;117204392486256640
180294329;209174783;116113079946838016
286232659;18238467;108919421518626816
126345639;37756066;94095222543360000
143026537;112694236;93676539366998016
263125356;233894299;93286556063895552
263125356;18238467;93286556063895552
122353251;18238467;93286209173979137
114414137;126345639;93218242830671872
114414137;140550105;93218242830671872
126345639;140550105;92922041933627392
299149410;140550105;92921903957803010
126345639;126345639;85249431452139520
289388935;52071856;84242406848995328
289388935;126345639;84242406848995328
299149410;126345639;84204622964727809
191084621;18238467;80739799778082816
18979745;18238467;80737254749913088
14588659;18238467;80730922563010560
14913379;17515802;74907033249394688
70144895;17515802;74888579716878336
230512159;823905;285400352243732481
15264641;84939709;282619330552807424
443130548;15264641;282614063983362049
443130548;84939709;282614063983362049
15264641;84939709;282612301763317760
84939709;337079693;282575065378340864
84939709;107060463;282575065378340864
585941934;370203506;282508037028208640
585941934;370203506;282505248227086337
465564533;415503429;282448143176581120
465564533;487597851;282448143176581120
80417398;140550105;281852005469786112
80417398;1006175354;281852005469786112
617150520;492121430;281819183988215808
73081902;78692150;281730427503403008
466407338;576310300;281727526127165440
243546672;225227568;281672596964126720
243546672;335515435;281672596964126720
335515435;225227568;281667798458052608
335515435;88638894;281667798458052608
317389338;225227568;281667772742787073
317389338;88638894;281667772742787073
617150520;6809022;281185643005087746
617150520;14306573;281185643005087746
190364813;56321648;281122937979932673
56321648;4093454415;281118392096788480
175509503;56321648;281115281672253440
551707081;14116807;281052960010690561
551707081;233457939;281052361076645888
975696829;31090827;281010628934631424
219582317;231495872;280941649574653952
617150520;492121430;280716490313981952
617150520;492121430;280708356598009856
617150520;419026892;280708356598009856
726267446;160208435;280676386321076224
219582317;231495872;280650595336073217
243605840;15947602;280026172514004994
304299413;231902225;279612733102632961
94803309;304299413;279611732211675136
204670349;31090827;279565322980294656
236318698;41583102;279561823550857217
9563732;276919970;279551345319628801
335515435;292969669;279134888727285760
317389338;292969669;279134887284465664
600871090;276973051;278603910372028418
258960145;276973051;278602839209680896
502077717;276973051;278600410149818369
243605840;15947602;278589041690157056
105582337;269782738;278437092701401089
269782738;7996082;278434378663727104
561519644;8077952;277895889362771968
534857422;226611875;277359460240994304
227014561;221796313;277023853220347904
270950532;256600380;276451216089821184
227014561;300947963;276382716830810112
227014561;440713778;276382716830810112
384270812;885487912044953601;276331284853305345
384270812;262597648;276331284853305345
295081955;321394472;276251330752954368
295081955;288938174;276251330752954368
295081955;373919386;276251330752954368
295081955;17593734;276251330752954368
295081955;50982086;276251330752954368
635617567;304299413;276219076731355137
635617567;386075845;276109053820801024
133469882;2748987977;276048620053209088
42195159;300947963;276030539570495488
324922965;74453123;276008035397296128
123070358;227014561;275956655949230080
123070358;94117217;275956655949230080
123070358;122763944;275956655949230080
227014561;123070358;275936658833158144
284408280;230512159;275865931912212481
830874596;2748987977;275492542504632320
263342803;12110932;275336702569103361
442242224;14436317;275083857714376704
442242224;11713422;275083857714376704
442242224;230512159;275083857714376704
230512159;823905;274905781697130496
275547944;129861742;274845569837563904
187441295;129861742;274844803638902784
299149410;123274099;274797272720625665
299149410;338469537;274797272720625665
932652865;1372470686;274500502027395072
343588169;133469882;274258785634246656
400100289;193214868;274224330240569344
331038842;457877121;274157816577679360
551206734;264116397;274141436415455232
616386366;2897650221;273860746461458435
188300159;12110932;273837273978650624
437769909;43910684;273824927763804161
466407338;400100289;273820111557758976
46371624;188300159;273779601405247488
337825612;327325722;273710141440937984
22635524;385586218;273553552876646400
385586218;22635524;273542471701651457
188300159;199271509;273507847365595136
188300159;12110932;273502524894478337
188300159;199271509;273502524894478337
188300159;12110932;273499908810612736
188300159;12110932;273499542308143104
188300159;12110932;273498983169662977
188300159;260356521;273494740467580928
337825612;123070358;273349306575093761
607023103;147229051;273342345389432832
607023103;123070358;273342345389432832
292969669;295058811;273331731732525057
292969669;369432631;273331731732525057
42195159;300947963;273325018753167360
42195159;94536381;273325018753167360
278573610;90415370;273203587448987648
502077717;567367427;273079839819431936
3005031;14489632;272338151715000320
214529916;732614096;272332300107255808
203834054;7996082;272260646563893248
100010768;2897650221;271712205978873856
324922965;74453123;271688760213766144
112668867;14225088;271591373780697088
292969669;551707081;271561788187885570
487943442;196697613;271539314637295616
931972399;22914352;271228931946987520
424458814;2748987977;271225919136468992
9563732;14225088;271211375215390720
393886714;22914352;271210026968965120
279729657;14225088;271174704579088385
393886714;2748987977;271004032963862529
402673899;19923515;270997140250173441
164238000;2748987977;270980992062328832
373312249;277036036;270976652710928384
247247355;28076939;270972044605263872
911224722;187864738;270968474224963584
911224722;110117638;270968474224963584
42195159;59754173;270963354976284672
42195159;300947963;270963354976284672
607023103;2748987977;270957509773242368
607023103;343588169;270957509773242368
343588169;27477225;270950041206812672
466407338;166507237;270946380854460416
466407338;221758681;270946380854460416
324922965;74453123;270946209814949888
121385551;27477225;270945907443372032
543346876;166507237;270912066230046720
543346876;221758681;270912066230046720
440788592;17812386;270897680924958720
324904050;74453123;270893087251902464
575489788;74453123;270888165659799552
295669573;204670349;270864750701858816
204670349;17812386;270860335555166208
385435317;117705468;270854998433357824
828559776;221758681;270814006997024769
178471005;27038703;270626264862298112
264333291;27038703;270555957619195907
126674272;27038703;270539303703171072
543346876;54179670;270489326218014721
306149365;27038703;270442574651748352
85285279;271567977;270423158056693760
236402631;27038703;270395504247062529
154903993;27038703;270309564090552320
300421764;27038703;270267960248107009
618218786;27038703;270265630748454915
65935927;27038703;270265122352689152
302636318;27038703;270235995880947712
136965841;27038703;270229415231881216
433302442;27038703;270221916319645696
377360735;27038703;270217931458232321
85285279;271567977;270215012226830336
134922604;27038703;270190862049353729
245981146;27038703;270182364724985857
534857422;262221458;270165616399355904
286227755;27038703;270157869658292225
402673899;27038703;270151178711597057
326168626;27038703;270143438857596928
122723760;27038703;270139037736632320
270453484;27038703;270135649749827584
129656811;27038703;270126426785718273
143955296;10946622;270123330504372224
252250369;27038703;270120099720069120
10946622;27038703;270119651260919808
70214437;27038703;270118391879192577
381618783;27038703;270117081821872128
340232946;27038703;270116688094183424
150450056;27038703;270107231171772416
305475017;27038703;270097002568753152
309544760;Unknown-76;270092573845098496
190297429;27038703;270086424479543296
534857422;7996082;270086351804841984
30833263;27038703;270082043554197504
339165317;823905;269770034463784961
539439244;193208669;269714259175436289
539439244;193208669;269713962558435328
333945044;2897650221;269439716020076544
200194129;2897650221;269152952470601728
543346876;193208669;269107883508105218
165688067;172671899;269032029591584770
204670349;242343224;268990868046884864
329278763;329278763;268647896973463552
42195159;300947963;268627414257655808
42195159;871577520;268627414257655808
551883751;303178569;268387486881951745
259409783;140380365;268346161159618560
503323400;278641847;268336898056007681
503323400;118033828;268336898056007681
Unknown-1;238734615;268331900853161984
278641847;118033828;268331729478094848
278641847;791635;268331729478094848
381750595;589860706;268331169353986049
289556229;284133100;268329941186269184
289556229;193208669;268329941186269184
9706822;613351956;268328942463754240
316910774;358280685;268322375823654913
539315855;585941934;268292463469416448
459646334;382300046;268133249514082306
298678178;2897650221;268121627814932480
132132987;2897650221;268121302689271808
730617932;169104639;268118941417746432
509023369;11231412;268116597540020224
358280685;2897650221;268099131581538304
444770159;400100289;268094185536630784
251241171;400100289;268062223736401921
223783879;8204452;268058090866368512
153888420;129861742;268054254554578944
825477853;589860706;268053537055973376
472876572;92002486;268041589438439425
284133100;193208669;268033000334319616
293918687;193208669;268016710165086209
235089994;23337157;268014165992546304
219072672;129861742;268012246683246592
904080206;129861742;268009345084710912
377912124;204670349;268005867197190144
377912124;8204452;268005867197190144
204670349;8204452;268005053812576256
618040477;368234207;267998828676931584
245302343;129861742;267995064742068224
802180814;770238684;267993037655900160
160208435;266697381;267956236706783232
274923841;129861742;267940365032644608
194969491;129861742;267940237609668608
821566310;21643907;267940196358701057
551707081;534857422;267936785991077888
551707081;84939709;267936785991077888
239562760;17618159;267924996846923776
868351675;297972314;267913694573371392
200943429;15877009;267890135775969280
941792250;823905;267876472717459456
318633012;1186290728357355521;267755326068101121
600349295;129861742;267739870515044352
293046575;2748987977;267728648583393281
160145907;7996082;267702087637430272
2898111;358280685;267693914918625280
395896446;188300159;267683195166806017
395896446;801129876874870784;267683195166806017
225914151;129861742;267682560132390912
188300159;801129876874870784;267667556582690816
224249551;496014225;267643124338282496
224249551;316404516;267643124338282496
292790139;Unknown-77;267629419647102977
292790139;481911722;267629419647102977
167321299;17618159;267627881163808769
501145672;2748987977;267611642366394369
171503473;17618159;267585101293047808
47980580;17618159;267580459465187328
171503473;310913851;267578470945677312
308033184;1186290728357355521;267566045949202432
278761805;327325722;267565251552215040
618040477;140550105;267563314823962624
229638836;7996082;267555760756637696
411355050;1186290728357355521;267549190123577345
121903463;395896446;267395133614473217
423615113;230512159;267384926146539520
551707081;2898111;267384180848078848
551707081;84939709;267382460592050177
84939709;337079693;267364433628655616
84939709;49464241;267364433628655616
84939709;14116807;267364433628655616
231761216;2898111;267361226835767296
2898111;801129876874870784;267326889008455680
2898111;534857422;267322555654868993
2898111;415805554;267322555654868993
2898111;2898111;267322555654868993
2898111;358280685;267322555654868993
252315810;16308919;267321867965177856
747512432;49464241;267313156811022338
747512432;14116807;267313156811022338
207726165;63700855;267289489758633987
207726165;49464241;267289489758633987
207726165;14116807;267289489758633987
636162978;2748987977;267288623643258880
287207842;145992645;267288071396003840
373554288;2748987977;267287215137239041
276603496;211884570;267286647585005569
157382717;209484168;267276231194591232
157382717;209484168;267275220635774977
444770159;400100289;267266877477253121
444770159;14116807;267266720568315904
730617932;230512159;267257525437599745
730617932;22954354;267257525437599745
730617932;43910684;267257525437599745
46371624;23061724;267257167114010625
278966574;823905;267255651351273473
230512159;22954354;267239915501285376
230512159;16514160;267239915501285376
230512159;43910684;267239915501285376
14184585;18144331;267239496498700288
14184585;209484168;267239496498700288
18144331;209484168;267238972462354432
494306860;14116807;267237314302984192
395896446;268346696;267233251163271168
395896446;277036036;267233251163271168
211093750;63700855;267225754885050368
211093750;49464241;267225754885050368
211093750;14116807;267225754885050368
63700855;49464241;267225069028253696
63700855;14116807;267225069028253696
268346696;217352125;267223522206683136
268346696;277036036;267223522206683136
268346696;395896446;267223522206683136
329361015;358280685;267205971556835329
329361015;25478140;267205971556835329
7851782;7996082;267201977400840192
277036036;358280685;267191969124601856
277036036;86779410;267191969124601856
258533814;14942445;267170348770922496
395896446;277036036;267058179060412416
395896446;358280685;267058179060412416
395896446;25478140;267058179060412416
369094506;27038703;267042268156936192
415805554;2898111;267017739984572417
415805554;358280685;267017739984572417
415805554;2898111;267017640185327616
505069655;27038703;267015755382546432
344056161;823905;267014132706975745
394000944;1186290728357355521;267009668109443072
27510958;27038703;267007071122231296
358280685;2898111;267005506399399936
235089689;124479636;266980986347216896
188300159;260356521;266980239207436289
188300159;199271509;266980239207436289
188300159;164602009;266980239207436289
188300159;260663763;266980239207436289
188300159;1042850226078474240;266980239207436289
188300159;260356521;266980024362614784
188300159;199271509;266980024362614784
188300159;164602009;266980024362614784
188300159;260663763;266980024362614784
121903463;358280685;266978050271481856
121903463;86779410;266978050271481856
358280685;86779410;266977749497946114
28370370;133469882;266970602269716480
303899798;162127187;266970184974225408
303899798;424458814;266970184974225408
303899798;162127187;266969985887391744
303899798;424458814;266969985887391744
174625308;7851782;266962830421532674
353598481;7851782;266962825455468544
337079693;49464241;266959416912404481
337079693;14116807;266959416912404481
49464241;14116807;266958171980058625
46371624;823905;266947681417580546
315291290;347002675;266947524655464449
595370519;262163456;266936587647082499
537156352;295058811;266928420603183106
252315810;27038703;266926185005592576
424466421;424458814;266902782139850753
373554288;43910684;266896342943678464
395896446;277036036;266895302118735872
395896446;358280685;266895302118735872
36924067;27038703;266893096132964352
199315068;263560502;266883562853236738
292969669;144779691;266883126041653249
384915780;32333056;266880348741328896
433302442;113419656;266873369343979520
595370519;262163456;266872342888734721
551707081;358280685;266869963636240384
414760094;823905;266859788011442176
25478140;400100289;266855140911366144
266277402;777251643301781504;266853422953816064
112417915;358280685;266850912583159809
277036036;358280685;266848906946682880
610682368;Unknown-78;266845590728626176
337825612;1186290728357355521;266844473932271617
107440942;1186290728357355521;266844228024406017
277036036;358280685;266843700527779840
277036036;25478140;266843700527779840
358280685;308054885;266842917023399936
358280685;198451168;266842917023399936
308054885;358280685;266842497223901184
308054885;198451168;266842497223901184
133858077;358280685;266840654380953600
14658093;27038703;266839971183337472
122355023;395382718;266839828237262848
122355023;797910888;266839828237262848
207932282;260424517;266839719315374081
122355023;395382718;266839699707006976
